Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login,Chrome 124.0.0.0,,,28-04-2024 10:44:57,28-04-2024 10:45:06,9.702s,PASSED
,,,,,,,
Test Cases/PetStore/Login,Chrome 124.0.0.0,,,28-04-2024 10:44:57,28-04-2024 10:45:06,9.465s,PASSED
"openBrowser("""")",Chrome 124.0.0.0,,,28-04-2024 10:44:57,28-04-2024 10:44:59,1.969s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 124.0.0.0,,,28-04-2024 10:44:59,28-04-2024 10:45:00,0.855s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/PetStoreLogin/Page_JPetStore Demo/a_Enter the Store""), 0)",Chrome 124.0.0.0,,,28-04-2024 10:45:00,28-04-2024 10:45:01,0.434s,PASSED
"click(findTestObject(""Object Repository/PetStoreLogin/Page_JPetStore Demo/a_Enter the Store""))",Chrome 124.0.0.0,,,28-04-2024 10:45:01,28-04-2024 10:45:02,1.086s,PASSED
"click(findTestObject(""Object Repository/PetStoreLogin/Page_JPetStore Demo/a_Sign In""))",Chrome 124.0.0.0,,,28-04-2024 10:45:02,28-04-2024 10:45:02,0.664s,PASSED
"setText(findTestObject(""Object Repository/PetStoreLogin/Page_JPetStore Demo/input_Need a user name and password_username""), ""mohan1"")",Chrome 124.0.0.0,,,28-04-2024 10:45:02,28-04-2024 10:45:03,0.784s,PASSED
"setEncryptedText(findTestObject(""Object Repository/PetStoreLogin/Page_JPetStore Demo/input_Need a user name and password_password""), ""qPDWtMYEx+8="")",Chrome 124.0.0.0,,,28-04-2024 10:45:03,28-04-2024 10:45:04,0.473s,PASSED
"click(findTestObject(""Object Repository/PetStoreLogin/Page_JPetStore Demo/p_UsernamesetTimeout(function()tryvar zdocu_78db45""))",Chrome 124.0.0.0,,,28-04-2024 10:45:04,28-04-2024 10:45:04,0.417s,PASSED
"setEncryptedText(findTestObject(""Object Repository/PetStoreLogin/Page_JPetStore Demo/input_Need a user name and password_password""), ""NXt0rM6HQe0="")",Chrome 124.0.0.0,,,28-04-2024 10:45:04,28-04-2024 10:45:04,0.489s,PASSED
"click(findTestObject(""Object Repository/PetStoreLogin/Page_JPetStore Demo/input_Need a user name and password_signon""))",Chrome 124.0.0.0,,,28-04-2024 10:45:04,28-04-2024 10:45:05,0.880s,PASSED
"click(findTestObject(""Object Repository/PetStoreLogin/Page_JPetStore Demo/a_Sign Out""))",Chrome 124.0.0.0,,,28-04-2024 10:45:05,28-04-2024 10:45:06,0.815s,PASSED
closeBrowser(),Chrome 124.0.0.0,,,28-04-2024 10:45:06,28-04-2024 10:45:06,0.276s,PASSED
