Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login,Chrome 124.0.0.0,,,21-04-2024 11:25:32,21-04-2024 11:25:42,10.054s,PASSED
,,,,,,,
Test Cases/PetStore/Login,Chrome 124.0.0.0,,,21-04-2024 11:25:32,21-04-2024 11:25:42,9.844s,PASSED
"openBrowser("""")",Chrome 124.0.0.0,,,21-04-2024 11:25:32,21-04-2024 11:25:34,1.874s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 124.0.0.0,,,21-04-2024 11:25:34,21-04-2024 11:25:35,1.065s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/PetStoreLogin/Page_JPetStore Demo/a_Enter the Store""), 0)",Chrome 124.0.0.0,,,21-04-2024 11:25:35,21-04-2024 11:25:35,0.397s,PASSED
"click(findTestObject(""Object Repository/PetStoreLogin/Page_JPetStore Demo/a_Enter the Store""))",Chrome 124.0.0.0,,,21-04-2024 11:25:35,21-04-2024 11:25:37,1.324s,PASSED
"click(findTestObject(""Object Repository/PetStoreLogin/Page_JPetStore Demo/a_Sign In""))",Chrome 124.0.0.0,,,21-04-2024 11:25:37,21-04-2024 11:25:37,0.762s,PASSED
"setText(findTestObject(""Object Repository/PetStoreLogin/Page_JPetStore Demo/input_Need a user name and password_username""), ""mohan1"")",Chrome 124.0.0.0,,,21-04-2024 11:25:37,21-04-2024 11:25:38,0.836s,PASSED
"setEncryptedText(findTestObject(""Object Repository/PetStoreLogin/Page_JPetStore Demo/input_Need a user name and password_password""), ""qPDWtMYEx+8="")",Chrome 124.0.0.0,,,21-04-2024 11:25:38,21-04-2024 11:25:39,0.448s,PASSED
"click(findTestObject(""Object Repository/PetStoreLogin/Page_JPetStore Demo/p_UsernamesetTimeout(function()tryvar zdocu_78db45""))",Chrome 124.0.0.0,,,21-04-2024 11:25:39,21-04-2024 11:25:39,0.407s,PASSED
"setEncryptedText(findTestObject(""Object Repository/PetStoreLogin/Page_JPetStore Demo/input_Need a user name and password_password""), ""NXt0rM6HQe0="")",Chrome 124.0.0.0,,,21-04-2024 11:25:39,21-04-2024 11:25:40,0.406s,PASSED
"click(findTestObject(""Object Repository/PetStoreLogin/Page_JPetStore Demo/input_Need a user name and password_signon""))",Chrome 124.0.0.0,,,21-04-2024 11:25:40,21-04-2024 11:25:40,0.829s,PASSED
"click(findTestObject(""Object Repository/PetStoreLogin/Page_JPetStore Demo/a_Sign Out""))",Chrome 124.0.0.0,,,21-04-2024 11:25:40,21-04-2024 11:25:41,0.970s,PASSED
closeBrowser(),Chrome 124.0.0.0,,,21-04-2024 11:25:41,21-04-2024 11:25:42,0.224s,PASSED
